,Name of Village,Sampled Year,Land Area,Longitude,Lattitude,pH,EC,OC,P,K,S,Zn,Fe,Cu,Mn,B,Fertility Index,Crop Name,Irrigation Pattern,Crop Rotation,Fertilizer Used,Yield Returns,YR(Label)
0,Varadaganahalli Avani Hobli,2016-17,1.0,78.555277892,13.234444492,5.7,0.61,0.16,7.0,201.0,48.4,0.32,10.61,0.22,4.37,0.7,1.0,Tomato Hybrid,Irrigation,No,Organic,High,1
1,Varadaganahalli Avani Hobli,2016-17,1.0,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,4.0,"Mulberry, silk plant",Rainfeed,No,InOrganic,Moderate,3
2,Varadaganahalli Avani Hobli,2016-17,0.6,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,1.0,Corn - local,Rainfeed,No,Organic,High,1
3,Varadaganahalli Avani Hobli,2016-17,0.2,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,3.0,Tomato,Rainfeed,No,InOrganic,Good,2
4,Varadaganahalli Avani Hobli,2016-17,0.1,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,4.0,Tomato Hybrid,Irrigation,No,Organic,Moderate,3
5,Varadaganahalli Avani Hobli,2016-17,0.7,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
6,Varadaganahalli Avani Hobli,2016-17,0.21,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
7,Varadaganahalli Avani Hobli,2016-17,1.18,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,4.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
8,Varadaganahalli Avani Hobli,2016-17,0.7,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,2.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
9,Varadaganahalli Avani Hobli,2016-17,0.1,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,3.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
10,Varadaganahalli Avani Hobli,2016-17,0.23,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
11,Varadaganahalli Avani Hobli,2016-17,0.14,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
12,Varadaganahalli Avani Hobli,2016-17,0.13,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
13,Varadaganahalli Avani Hobli,2016-17,0.13,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
14,Varadaganahalli Avani Hobli,2016-17,0.17,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
15,Varadaganahalli Avani Hobli,2016-17,0.18,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
16,Varadaganahalli Avani Hobli,2016-17,0.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,2.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
17,Varadaganahalli Avani Hobli,2016-17,0.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
18,Varadaganahalli Avani Hobli,2016-17,0.18,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
19,Varadaganahalli Avani Hobli,2016-17,0.1,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
20,Varadaganahalli Avani Hobli,2016-17,1.3,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Tomato Hybrid,Rainfeed,No,Organic,Moderate,3
21,Varadaganahalli Avani Hobli,2016-17,0.17,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,2.0,Tomato Hybrid,Rainfeed,No,InOrganic,Moderate,3
22,Varadaganahalli Avani Hobli,2016-17,0.13,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Tomato Hybrid,Rainfeed,No,Organic,High,1
23,Varadaganahalli Avani Hobli,2016-17,0.26,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,Tomato Hybrid,Rainfeed,No,Organic,Moderate,3
24,Varadaganahalli Avani Hobli,2016-17,0.25,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
